Ticker,Security,SectorID
HAS,HASBRO INC,CD
DOC,HEALTHPEAK PROPE,RL
HSIC,HENRY SCHEIN INC,HC
HRL,HORMEL FOODS CRP,CS
HST,HOST HOTELS & RE,RL
JBHT,HUNT (JB) TRANS,IN
HII,HUNTINGTON INGAL,IN
INCY,INCYTE CORP,HC
IPG,INTERPUBLIC GRP,TC
SJM,JM SMUCKER CO,CS
JNPR,JUNIPER NETWORKS,IT
LKQ,LKQ CORP,CD
MKTX,MARKETAXESS,FN
MTCH,MATCH GROUP INC,TC
MRNA,MODERNA INC,HC
TAP,MOLSON COORS-B,CS
MOS,MOSAIC CO/THE,MT
NWSA,NEWS CORP-CL A,TC
NDSN,NORDSON CORP,IN
NCLH,NORWEGIAN CRUISE,CD
PAYC,PAYCOM SOFTWARE,IN
PNW,PINNACLE WEST,UT
POOL,POOL CORP,CD
RL,RALPH LAUREN COR,CD
REG,REGENCY CENTERS,RL
RVTY,REVVITY INC,HC
SWKS,SKYWORKS SOLUTIO,IT
SOLV,SOLVENTUM,HC
SWK,STANLEY BLACK &,IN
TKO,TKO GROUP HOLDIN,TC
UDR,UDR INC,RL
UHS,UNIVERSAL HLTH-B,HC
VTRS,VIATRIS INC,HC
WBA,WALGREENS BOOTS,CS
WYNN,WYNN RESORTS LTD,CD
AES,AES CORP,UT
ALB,ALBEMARLE CORP,MT
APA,APA CORP,EN
BF/B,BROWN-FORMAN -B,CS
CZR,CAESARS ENTERTAI,CD
CRL,CHARLES RIVER LA,HC
DVA,DAVITA INC,HC
ENPH,ENPHASE ENERGY,IT
FRT,FED REALTY INVS,RL
FOX,FOX CORP - B,TC
BEN,FRANKLIN RES INC,FN
IVZ,INVESCO LTD,FN
LW,LAMB WESTON,CS
MGM,MGM RESORTS INTE,CD
MHK,MOHAWK INDS,CD
NWS,NEWS CORP-CL B,TC
PARA,PARAMOUNT GLOB-B,TC
AOS,SMITH (A.O.)CORP,IN
CPB,THE CAMPBELL'S C,CS
TSM,TAIWAN SEMIC-ADR,IT
SEC,SAMSUNG ELECTRON,IT
